French,English
aujourd'hui,today
demandé,request
terre,Earth
frère,brother
droit,law
enfant,child
pendant,while
voici,here is
dont,whose
belle,beautiful
car,because
corps,body
pourrais,could
croire,believe
aucun,no
type,type
écoute,listen
venez,come
mois,month
bébé,baby
attendez,Wait
main,hand
seulement,only
parle,speak
venu,came
mettre,to put
bureau,office
donner,give
première,first
devant,in front of
premier,first
perdu,lost
chaque,each
revoir,meet again
trouve,find
leurs,their
heures,hours
point,point
mari,husband
pensais,thought
affaire,case
histoire,history
plutôt,rather
laisser,let
enfin,finally
façon,way
partie,part
étaient,were
donne,given
yeux,eyes
devrait,should
arrêter,Stop
parti,left
compris,understood
loin,far
cause,cause
pardon,sorry
attention,Warning
vers,towards
aucune,any
ville,city
endroit,place
chercher,search
fin,end
aimerais,would like to
savais,knew
pouvoir,power
filles,girls
minutes,minutes
aide,help
arrivé,come
compte,account
aura,will have
parlé,speak
mis,placed
boulot,job
place,square
sois,be
donné,given
eux,them
train,train
demande,request
espère,hope
tellement,so much
suite,after
chérie,sweetheart
vont,will
genre,kind
laisse,leash
police,police
tiens,here
longtemps,long time
gros,large
dirait,would say
nouvelle,new
matin,morning
vieux,old
eau,water
jouer,to play
côté,side
